#a1 a2 eps sig(A)
B05Gc B0uTg 1.7 3.6
B05Gt B0uTg 1.7 3.6
B05G3 B0uTg 1.7 3.6
B0aGa B0uTg 1.7 3.6
B0aGu B0uTg 1.7 3.6
B0aGg B0uTg 1.7 3.6
B0aGc B0uTg 1.7 3.6
B0aGt B0uTg 1.7 3.6
B0aG3 B0uTg 1.7 3.6
B0uGa B0uTg 1.7 3.6
B0uGu B0uTg 1.7 3.6
B0uGg B0uTg 1.7 3.6
B0uGc B0uTg 1.7 3.6
B0uGt B0uTg 1.7 3.6
B0uG3 B0uTg 1.7 3.6
B0gGa B0uTg 1.7 3.6
B0gGu B0uTg 1.7 3.6
B0gGg B0uTg 1.7 3.6
B0gGc B0uTg 1.7 3.6
B0gGt B0uTg 1.7 3.6
B0gG3 B0uTg 1.7 3.6
B0cGa B0uTg 1.7 3.6
B0cGu B0uTg 1.7 3.6
B0cGg B0uTg 1.7 3.6
B0cGc B0uTg 1.7 3.6
B0cGt B0uTg 1.7 3.6
B0cG3 B0uTg 1.7 3.6
B0tGa B0uTg 1.7 3.6
B0tGu B0uTg 1.7 3.6
B0tGg B0uTg 1.7 3.6
B0tGc B0uTg 1.7 3.6
B0tGt B0uTg 1.7 3.6
B0tG3 B0uTg 1.7 3.6
B05Ga B0uTc 1.7 3.6
B05Gu B0uTc 1.7 3.6
B05Gg B0uTc 1.7 3.6
B05Gc B0uTc 1.7 3.6
B05Gt B0uTc 1.7 3.6
B05G3 B0uTc 1.7 3.6
B0aGa B0uTc 1.7 3.6
B0aGu B0uTc 1.7 3.6
B0aGg B0uTc 1.7 3.6
B0aGc B0uTc 1.7 3.6
B0aGt B0uTc 1.7 3.6
B0aG3 B0uTc 1.7 3.6
B0uGa B0uTc 1.7 3.6
B0uGu B0uTc 1.7 3.6
B0uGg B0uTc 1.7 3.6
B0uGc B0uTc 1.7 3.6
B0uGt B0uTc 1.7 3.6
B0uG3 B0uTc 1.7 3.6
B0gGa B0uTc 1.7 3.6
B0gGu B0uTc 1.7 3.6
B0gGg B0uTc 1.7 3.6
B0gGc B0uTc 1.7 3.6
B0gGt B0uTc 1.7 3.6
B0gG3 B0uTc 1.7 3.6
B0cGa B0uTc 1.7 3.6
B0cGu B0uTc 1.7 3.6
B0cGg B0uTc 1.7 3.6
B0cGc B0uTc 1.7 3.6
B0cGt B0uTc 1.7 3.6
B0cG3 B0uTc 1.7 3.6
B0tGa B0uTc 1.7 3.6
B0tGu B0uTc 1.7 3.6
B0tGg B0uTc 1.7 3.6
B0tGc B0uTc 1.7 3.6
B0tGt B0uTc 1.7 3.6
B0tG3 B0uTc 1.7 3.6
B05Ga B0uTt 1.7 3.6
B05Gu B0uTt 1.7 3.6
B05Gg B0uTt 1.7 3.6
B05Gc B0uTt 1.7 3.6
B05Gt B0uTt 1.7 3.6
B05G3 B0uTt 1.7 3.6
B0aGa B0uTt 1.7 3.6
B0aGu B0uTt 1.7 3.6
B0aGg B0uTt 1.7 3.6
B0aGc B0uTt 1.7 3.6
B0aGt B0uTt 1.7 3.6
B0aG3 B0uTt 1.7 3.6
B0uGa B0uTt 1.7 3.6
B0uGu B0uTt 1.7 3.6
B0uGg B0uTt 1.7 3.6
B0uGc B0uTt 1.7 3.6
B0uGt B0uTt 1.7 3.6
B0uG3 B0uTt 1.7 3.6
B0gGa B0uTt 1.7 3.6
B0gGu B0uTt 1.7 3.6
B0gGg B0uTt 1.7 3.6
B0gGc B0uTt 1.7 3.6
B0gGt B0uTt 1.7 3.6
B0gG3 B0uTt 1.7 3.6
B0cGa B0uTt 1.7 3.6
B0cGu B0uTt 1.7 3.6
B0cGg B0uTt 1.7 3.6
B0cGc B0uTt 1.7 3.6
B0cGt B0uTt 1.7 3.6
B0cG3 B0uTt 1.7 3.6
B0tGa B0uTt 1.7 3.6
B0tGu B0uTt 1.7 3.6
B0tGg B0uTt 1.7 3.6
B0tGc B0uTt 1.7 3.6
B0tGt B0uTt 1.7 3.6
B0tG3 B0uTt 1.7 3.6
B05Ga B0uT3 1.7 3.6
B05Gu B0uT3 1.7 3.6
B05Gg B0uT3 1.7 3.6
B05Gc B0uT3 1.7 3.6
B05Gt B0uT3 1.7 3.6
B0aGa B0uT3 1.7 3.6
B0aGu B0uT3 1.7 3.6
B0aGg B0uT3 1.7 3.6
B0aGc B0uT3 1.7 3.6
B0aGt B0uT3 1.7 3.6
B0uGa B0uT3 1.7 3.6
B0uGu B0uT3 1.7 3.6
B0uGg B0uT3 1.7 3.6
B0uGc B0uT3 1.7 3.6
B0uGt B0uT3 1.7 3.6
B0gGa B0uT3 1.7 3.6
B0gGu B0uT3 1.7 3.6
B0gGg B0uT3 1.7 3.6
B0gGc B0uT3 1.7 3.6
B0gGt B0uT3 1.7 3.6
B0cGa B0uT3 1.7 3.6
B0cGu B0uT3 1.7 3.6
