#a1 a2 eps sig(A)
B05Gg CBY 2.9 3.6
B05Gc CBY 2.9 3.6
B05Gt CBY 2.9 3.6
B05G3 CBY 2.9 3.6
B0aGa CBY 2.9 3.6
B0aGu CBY 2.9 3.6
B0aGg CBY 2.9 3.6
B0aGc CBY 2.9 3.6
B0aGt CBY 2.9 3.6
B0aG3 CBY 2.9 3.6
B0uGa CBY 2.9 3.6
B0uGu CBY 2.9 3.6
B0uGg CBY 2.9 3.6
B0uGc CBY 2.9 3.6
B0uGt CBY 2.9 3.6
B0uG3 CBY 2.9 3.6
B0gGa CBY 2.9 3.6
B0gGu CBY 2.9 3.6
B0gGg CBY 2.9 3.6
B0gGc CBY 2.9 3.6
B0gGt CBY 2.9 3.6
B0gG3 CBY 2.9 3.6
B0cGa CBY 2.9 3.6
B0cGu CBY 2.9 3.6
B0cGg CBY 2.9 3.6
B0cGc CBY 2.9 3.6
B0cGt CBY 2.9 3.6
B0cG3 CBY 2.9 3.6
B0tGa CBY 2.9 3.6
B0tGu CBY 2.9 3.6
B0tGg CBY 2.9 3.6
B0tGc CBY 2.9 3.6
B0tGt CBY 2.9 3.6
B0tG3 CBY 2.9 3.6
#B0G CBF 3.0 3.6
B05Ga CBF 3.0 3.6
B05Gu CBF 3.0 3.6
B05Gg CBF 3.0 3.6
B05Gc CBF 3.0 3.6
B05Gt CBF 3.0 3.6
B05G3 CBF 3.0 3.6
B0aGa CBF 3.0 3.6
B0aGu CBF 3.0 3.6
B0aGg CBF 3.0 3.6
B0aGc CBF 3.0 3.6
B0aGt CBF 3.0 3.6
B0aG3 CBF 3.0 3.6
B0uGa CBF 3.0 3.6
B0uGu CBF 3.0 3.6
B0uGg CBF 3.0 3.6
B0uGc CBF 3.0 3.6
B0uGt CBF 3.0 3.6
B0uG3 CBF 3.0 3.6
B0gGa CBF 3.0 3.6
B0gGu CBF 3.0 3.6
B0gGg CBF 3.0 3.6
B0gGc CBF 3.0 3.6
B0gGt CBF 3.0 3.6
B0gG3 CBF 3.0 3.6
B0cGa CBF 3.0 3.6
B0cGu CBF 3.0 3.6
B0cGg CBF 3.0 3.6
B0cGc CBF 3.0 3.6
B0cGt CBF 3.0 3.6
B0cG3 CBF 3.0 3.6
B0tGa CBF 3.0 3.6
B0tGu CBF 3.0 3.6
B0tGg CBF 3.0 3.6
B0tGc CBF 3.0 3.6
B0tGt CBF 3.0 3.6
B0tG3 CBF 3.0 3.6
#B0G CBH 2.2 3.6
B05Ga CBH 2.2 3.6
B05Gu CBH 2.2 3.6
B05Gg CBH 2.2 3.6
B05Gc CBH 2.2 3.6
B05Gt CBH 2.2 3.6
B05G3 CBH 2.2 3.6
B0aGa CBH 2.2 3.6
B0aGu CBH 2.2 3.6
B0aGg CBH 2.2 3.6
B0aGc CBH 2.2 3.6
B0aGt CBH 2.2 3.6
B0aG3 CBH 2.2 3.6
B0uGa CBH 2.2 3.6
B0uGu CBH 2.2 3.6
B0uGg CBH 2.2 3.6
B0uGc CBH 2.2 3.6
B0uGt CBH 2.2 3.6
B0uG3 CBH 2.2 3.6
B0gGa CBH 2.2 3.6
B0gGu CBH 2.2 3.6
B0gGg CBH 2.2 3.6
B0gGc CBH 2.2 3.6
B0gGt CBH 2.2 3.6
B0gG3 CBH 2.2 3.6
B0cGa CBH 2.2 3.6
B0cGu CBH 2.2 3.6
B0cGg CBH 2.2 3.6
B0cGc CBH 2.2 3.6
B0cGt CBH 2.2 3.6
B0cG3 CBH 2.2 3.6
B0tGa CBH 2.2 3.6
B0tGu CBH 2.2 3.6
B0tGg CBH 2.2 3.6
B0tGc CBH 2.2 3.6
B0tGt CBH 2.2 3.6
B0tG3 CBH 2.2 3.6
#B0A CBW 3.1 3.6
B05Aa CBW 3.1 3.6
B05Au CBW 3.1 3.6
B05Ag CBW 3.1 3.6
B05Ac CBW 3.1 3.6
B05At CBW 3.1 3.6
B05A3 CBW 3.1 3.6
B0aAa CBW 3.1 3.6
B0aAu CBW 3.1 3.6
B0aAg CBW 3.1 3.6
B0aAc CBW 3.1 3.6
B0aAt CBW 3.1 3.6
B0aA3 CBW 3.1 3.6
B0uAa CBW 3.1 3.6
B0uAu CBW 3.1 3.6
B0uAg CBW 3.1 3.6
B0uAc CBW 3.1 3.6
B0uAt CBW 3.1 3.6
B0uA3 CBW 3.1 3.6
B0gAa CBW 3.1 3.6
B0gAu CBW 3.1 3.6
B0gAg CBW 3.1 3.6
B0gAc CBW 3.1 3.6
B0gAt CBW 3.1 3.6
B0gA3 CBW 3.1 3.6
B0cAa CBW 3.1 3.6
B0cAu CBW 3.1 3.6
B0cAg CBW 3.1 3.6
B0cAc CBW 3.1 3.6
B0cAt CBW 3.1 3.6
B0cA3 CBW 3.1 3.6
B0tAa CBW 3.1 3.6
B0tAu CBW 3.1 3.6
B0tAg CBW 3.1 3.6
B0tAc CBW 3.1 3.6
B0tAt CBW 3.1 3.6
B0tA3 CBW 3.1 3.6
#B0A CBY 3.3 3.6
B05Aa CBY 3.3 3.6
B05Au CBY 3.3 3.6
B05Ag CBY 3.3 3.6
B05Ac CBY 3.3 3.6
B05At CBY 3.3 3.6
B05A3 CBY 3.3 3.6
B0aAa CBY 3.3 3.6
B0aAu CBY 3.3 3.6
B0aAg CBY 3.3 3.6
B0aAc CBY 3.3 3.6
B0aAt CBY 3.3 3.6
B0aA3 CBY 3.3 3.6
B0uAa CBY 3.3 3.6
B0uAu CBY 3.3 3.6
B0uAg CBY 3.3 3.6
B0uAc CBY 3.3 3.6
B0uAt CBY 3.3 3.6
B0uA3 CBY 3.3 3.6
B0gAa CBY 3.3 3.6
B0gAu CBY 3.3 3.6
B0gAg CBY 3.3 3.6
B0gAc CBY 3.3 3.6
B0gAt CBY 3.3 3.6
B0gA3 CBY 3.3 3.6
B0cAa CBY 3.3 3.6
B0cAu CBY 3.3 3.6
B0cAg CBY 3.3 3.6
B0cAc CBY 3.3 3.6
B0cAt CBY 3.3 3.6
B0cA3 CBY 3.3 3.6
B0tAa CBY 3.3 3.6
B0tAu CBY 3.3 3.6
B0tAg CBY 3.3 3.6
B0tAc CBY 3.3 3.6
B0tAt CBY 3.3 3.6
B0tA3 CBY 3.3 3.6
#B0A CBF 3.3 3.6
B05Aa CBF 3.3 3.6
B05Au CBF 3.3 3.6
B05Ag CBF 3.3 3.6
B05Ac CBF 3.3 3.6
B05At CBF 3.3 3.6
B05A3 CBF 3.3 3.6
B0aAa CBF 3.3 3.6
B0aAu CBF 3.3 3.6
B0aAg CBF 3.3 3.6
B0aAc CBF 3.3 3.6
B0aAt CBF 3.3 3.6
B0aA3 CBF 3.3 3.6
B0uAa CBF 3.3 3.6
B0uAu CBF 3.3 3.6
B0uAg CBF 3.3 3.6
B0uAc CBF 3.3 3.6
B0uAt CBF 3.3 3.6
B0uA3 CBF 3.3 3.6
B0gAa CBF 3.3 3.6
B0gAu CBF 3.3 3.6
B0gAg CBF 3.3 3.6
B0gAc CBF 3.3 3.6
B0gAt CBF 3.3 3.6
B0gA3 CBF 3.3 3.6
B0cAa CBF 3.3 3.6
B0cAu CBF 3.3 3.6
B0cAg CBF 3.3 3.6
B0cAc CBF 3.3 3.6
B0cAt CBF 3.3 3.6
B0cA3 CBF 3.3 3.6
B0tAa CBF 3.3 3.6
B0tAu CBF 3.3 3.6
B0tAg CBF 3.3 3.6
B0tAc CBF 3.3 3.6
B0tAt CBF 3.3 3.6
B0tA3 CBF 3.3 3.6
#B0A CBH 2.2 3.6
B05Aa CBH 2.2 3.6
B05Au CBH 2.2 3.6
B05Ag CBH 2.2 3.6
B05Ac CBH 2.2 3.6
B05At CBH 2.2 3.6
B05A3 CBH 2.2 3.6
B0aAa CBH 2.2 3.6
B0aAu CBH 2.2 3.6
B0aAg CBH 2.2 3.6
B0aAc CBH 2.2 3.6
B0aAt CBH 2.2 3.6
B0aA3 CBH 2.2 3.6
