#a1 a2 eps sig(A)
B0aAg B0cU3 1.00  6.00
#S0aAg S0tUu 1.00 14.00
S0aAg B0tUu 1.00 10.00
B0aAg S0tUu 1.00 10.00
B0aAg B0tUu 1.00  6.00
#S0aAg S0tUt 1.00 14.00
S0aAg B0tUt 1.00 10.00
B0aAg S0tUt 1.00 10.00
B0aAg B0tUt 1.00  6.00
#S05Uu S0aAc 1.00 14.00
S05Uu B0aAc 1.00 10.00
B05Uu S0aAc 1.00 10.00
B05Uu B0aAc 1.00  6.00
#S05Ut S0aAc 1.00 14.00
S05Ut B0aAc 1.00 10.00
B05Ut S0aAc 1.00 10.00
B05Ut B0aAc 1.00  6.00
#S0aAc S0aUu 1.00 14.00
S0aAc B0aUu 1.00 10.00
B0aAc S0aUu 1.00 10.00
B0aAc B0aUu 1.00  6.00
#S0aAc S0aUt 1.00 14.00
S0aAc B0aUt 1.00 10.00
B0aAc S0aUt 1.00 10.00
B0aAc B0aUt 1.00  6.00
#S0aAc S0uUu 1.00 14.00
S0aAc B0uUu 1.00 10.00
B0aAc S0uUu 1.00 10.00
B0aAc B0uUu 1.00  6.00
#S0aAc S0uUt 1.00 14.00
S0aAc B0uUt 1.00 10.00
B0aAc S0uUt 1.00 10.00
B0aAc B0uUt 1.00  6.00
#S0aAc S0gUa 1.00 14.00
S0aAc B0gUa 1.00 10.00
B0aAc S0gUa 1.00 10.00
B0aAc B0gUa 1.00  6.00
#S0aAc S0gUu 2.00 14.00
S0aAc B0gUu 2.00 10.00
B0aAc S0gUu 2.00 10.00
B0aAc B0gUu 2.00  6.00
#S0aAc S0gUg 1.00 14.00
S0aAc B0gUg 1.00 10.00
B0aAc S0gUg 1.00 10.00
B0aAc B0gUg 1.00  6.00
#S0aAc S0gUc 1.00 14.00
S0aAc B0gUc 1.00 10.00
B0aAc S0gUc 1.00 10.00
B0aAc B0gUc 1.00  6.00
#S0aAc S0gUt 2.00 14.00
S0aAc B0gUt 2.00 10.00
B0aAc S0gUt 2.00 10.00
B0aAc B0gUt 2.00  6.00
#S0aAc S0gU3 1.00 14.00
S0aAc B0gU3 1.00 10.00
B0aAc S0gU3 1.00 10.00
B0aAc B0gU3 1.00  6.00
#S0aAc S0cUu 1.00 14.00
S0aAc B0cUu 1.00 10.00
B0aAc S0cUu 1.00 10.00
B0aAc B0cUu 1.00  6.00
#S0aAc S0cUt 1.00 14.00
S0aAc B0cUt 1.00 10.00
B0aAc S0cUt 1.00 10.00
B0aAc B0cUt 1.00  6.00
#S0aAc S0tUu 1.00 14.00
S0aAc B0tUu 1.00 10.00
B0aAc S0tUu 1.00 10.00
B0aAc B0tUu 1.00  6.00
#S0aAc S0tUt 1.00 14.00
S0aAc B0tUt 1.00 10.00
B0aAc S0tUt 1.00 10.00
B0aAc B0tUt 1.00  6.00
#S05Uu S0aAt 1.00 14.00
S05Uu B0aAt 1.00 10.00
B05Uu S0aAt 1.00 10.00
B05Uu B0aAt 1.00  6.00
#S05Ut S0aAt 1.00 14.00
S05Ut B0aAt 1.00 10.00
B05Ut S0aAt 1.00 10.00
B05Ut B0aAt 1.00  6.00
#S0aAt S0aUa 1.00 14.00
S0aAt B0aUa 1.00 10.00
B0aAt S0aUa 1.00 10.00
B0aAt B0aUa 1.00  6.00
#S0aAt S0aUu 2.00 14.00
S0aAt B0aUu 2.00 10.00
